Text,True Labels,Predicted labels
قريب رعفت من عينيا مين شت هديك تع تاكلو كاو كاو مدوها شونص بش تمثل,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
! ! هكا ديييييراكت من شطيح والعرا والطياح ف تيك توك ل القنوات الخاصة,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
الاعلام خبزيست مراحش يشوفو مع الملتزمين والمتخلقين لانو شعبنا اصلا ميستغلش بيهم في وقت الصح لكن تحطلو مغنية ولا ممثل بهلول يجيب النهار وهو يتبع فيهم يا اما يدافع عليهم يا اما يشتم فيهم المهم هو عامل جذب الانتباه وطريقة العرض,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OCC', 'O', 'B-OCC', 'O', 'O', 'B-TIME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OCC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
يبق هذاك التاجر مسكين حاط يد على يد وفالشهر يبيع كتاب هذا إذا صح باعو,"['O', 'O', 'B-OCC', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
بصح كون يبيع وسمهم هادوك الروايات والتمسخير والخيال والقصص هادوك يلق المجتمع كلو يشريهم بيسك يحب يضيع وقت فالقراية يلي متفيدش,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
قصدك مسلسل سامحيني هذاك الي راه في اكثر من الف حلقة قالك المخرج مات والمسلسل مازال ما خلاصش ما نتفرجوش بصح نشوفو منين ذاك في 2M يلقي,"['O', 'B-PRODUCT', 'I-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'B-OCC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE']"
بصح دورك ولاو يركبو الخوف في الانسان باسم كاميرا كاشي وراهوم كل مرة يزيدو فيها,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
نروحو لقناة الشروق : و ربما هي اكثر قناة فيها حصص خيرية و اجتماعية للمساعدة و حل المشاكل العائلية و الاسرية و الاجتماعية,"['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
المذيعة اللي تدير في الحصة ومعاها شيخ ورع يفتي فتاوى ما صراتش من قبل,"['B-OCC', 'O', 'O', 'O', 'O', 'O', 'B-OCC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
شوفو ذيك الرحمة بالنساء,"['O', 'O', 'O', 'O']","['O', 'O', 'O', 'O']"
والا اللي قالتلهم اسكتو سليمة سواكر ما تعرفش تهدر العربية مليح ، ولا تعرف تدير حصتها كما ينبغي,"['O', 'O', 'O', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
والله انا نشوف قناة طيور الجنة مليحه وتربي الولاد صح,"['O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'I-ORG', 'O', 'O', 'B-NORP', 'O']"
"ونقولك اذا ماعجباتكش طيور الجنة راهم كاين خواتاتها كيما "" مازيكا و ميلودي تونس","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
احمد عز ومحمد رمضان واحمد فاروق الفيشاوى واحمد السقا وكاريم عبد العزيز,"['B-PERS', 'I-PERS', 'B-PERS', 'I-PERS', 'B-PERS', 'I-PERS', 'I-PERS', 'B-PERS', 'I-PERS', 'B-PERS', 'I-PERS', 'I-PERS']","['B-PERS', 'I-PERS', 'O', 'I-PERS', 'O', 'B-PERS', 'I-PERS', 'O', 'I-PERS', 'O', 'I-PERS', 'I-PERS']"
كلهم رائعين ومحدش غطا على الثاني على فكرة,"['O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O']"
اية الجمال دة يا فنان بجد انا بجد معجب انك بتختار الاغاني المناسبة لصوتك وتغنيها فنان عالمي والله,"['O', 'O', 'O', 'O', 'B-OCC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OCC', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
مصر ولادة بالفن بدون برامج تصويت وكلام فاضي تحياتي ي فنان,"['B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OCC']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OCC', 'B-OCC']"
الاغنيه الشعبيه الوحيده الي عندي استعداد اسمعها كل يوم وفي كل مرة تفرحني,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-TIME', 'O', 'O', 'O', 'O']"
ما في حاجه لاعتراف النقابه بفن المهرجانات ، خليها تبقی اندرجراوند,"['O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'I-EVENT', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
اللي اسمه علاء فيفيتي دة مش قادر يقعد من شد البودرة,"['O', 'O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-PERS', 'O', 'B-OCC', 'O', 'O', 'O', 'O', 'O', 'O']"
هي دقائق من التأمل بمفهوم الحياة,"['O', 'B-TIME', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O']"
صوت جميل وفنان محترم بس اتظلم ومخدش فرصته,"['O', 'O', 'B-OCC', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
فعلاً احمد ذكي لما يتقمص الشخصية عجيب ولما تكون تعرف الشخصية بشكل شخصي ان كان في عيلتك او حد بتعرفوا بتنبهر بدقة التفاصيل,"['O', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
لن اعيش في جلباب ابي جميله بس ذئاب الجبل افضل مسلسل مصري رغم كل الصعوبات اللي حصلت معه,"['B-PRODUCT', 'I-PRODUCT', 'I-PRODUCT', 'I-PRODUCT', 'I-PRODUCT', 'O', 'O', 'B-PRODUCT', 'I-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
