Text,True Labels,Predicted labels
طهران - بعد أن عرقلت العقوبات الغربية المفروضة على إيران إكمال مسار النقل الرابط بين الشمال والجنوب لفترة تزيد على عقدين,"['B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE']","['B-GPE', 'O', 'O', 'O', 'O', 'O', 'I-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE']"
أسهمت العقوبات التي فُرضت على موسكو في استثمارات روسية لإنشاء آخر حلقة من الممر الذي يهدف إلى الربط بين الهند وروسيا عبر إيران,"['O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'B-GPE', 'O', 'B-GPE']","['O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'B-GPE', 'O', 'B-GPE']"
وشهد الرئيس الإيراني إبراهيم رئيسي ونظيره الروسي فلاديمير بوتين الأربعاء الماضي توقيع اتفاق بمبلغ 1,"['O', 'B-OCC', 'I-OCC', 'B-PERS', 'I-PERS', 'O', 'B-NORP', 'B-PERS', 'I-PERS', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'B-MONEY']","['O', 'B-OCC', 'I-OCC', 'B-PERS', 'I-PERS', 'B-OCC', 'O', 'B-PERS', 'I-PERS', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'B-CARDINAL']"
6 مليار دولار لتمويل وإنشاء خط للسكك الحديدية بطول 162 كيلومترا بين مدينتي رشت وآستارا ( شمال غربي إيران ) ، ليكون جزءا من ممر نقل يهدف إلى ربط الموانئ الروسية بالموانئ الإيرانية المطلة على مياه الخليج,"['O', 'I-MONEY', 'I-MONEY', 'O', 'O', 'O', 'O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'O', 'B-GPE', 'B-GPE', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC']","['I-MONEY', 'I-MONEY', 'I-MONEY', 'O', 'O', 'O', 'O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'O', 'B-GPE', 'B-GPE', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC']"
وبينما تصف إيران الاتفاق بأنه ` ` خطوة مهمة وإستراتيجية في مجال التعاون الثنائي بين طهران وموسكو ` ` ، تقول روسيا إن هذا الممر يمكنه منافسة قناة السويس بوصفه طريقا رئيسيا للتجارة العالمية,"['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'B-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-FAC', 'B-GPE', 'O', 'O', 'O', 'O', 'O']"
إسطنبول - في الوقت الذي تترقب فيه تركيا جولة الإعادة في الانتخابات الرئاسية يوم الأحد 28 مايو / أيار الجاري ، للاختيار بين الرئيس رجب طيب أردوغان ومنافسه كمال كليجدار أوغلو,"['B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'B-OCC', 'B-PERS', 'I-PERS', 'I-PERS', 'O', 'B-PERS', 'I-PERS', 'I-PERS']","['B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'I-EVENT', 'I-EVENT', 'I-DATE', 'I-DATE', 'I-DATE', 'I-EVENT', 'O', 'O', 'O', 'B-OCC', 'B-PERS', 'I-PERS', 'I-PERS', 'O', 'B-PERS', 'I-PERS', 'I-PERS']"
حذرت وسائل إعلام دولية من تراجع للسوق المحلي و ` ` سيناريوهات صعبة ` ` تنتظره في حال استمرار السياسات القائمة,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
وتقدم أردوغان في الجولة الأولى بحصوله على نسبة 49,"['O', 'B-PERS', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-PERCENT']","['O', 'B-PERS', 'O', 'O', 'B-ORDINAL', 'O', 'O', 'O', 'B-PERCENT']"
5 % من الأصوات مقابل 44,"['I-PERCENT', 'I-PERCENT', 'O', 'O', 'O', 'B-PERCENT']","['I-PERCENT', 'I-PERCENT', 'O', 'O', 'O', 'B-PERCENT']"
9 % لكليجدار أوغلو ، وهو ما أسفر عن إحباط لدى الأوساط الغربية انعكس في تقارير تناقلتها وسائل إعلامها,"['I-PERCENT', 'I-PERCENT', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['I-PERCENT', 'I-PERCENT', 'B-PERS', 'I-PERS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
